Path,File Type,Notes
/avalon/data/personal_array.bin,[Personal](../formats/personal),Previously known as personal_total.bin
/avalon/data/waza_array.bin,,
/avalon/data/tokusei_array.bin,,
/avalon/data/ai_common_raid01.bin,,
/avalon/data/growTable.bin,,
/appli/tex/pokedex_capture_thum/pokedex_capture_thum_XXXX/pokedex_capture_thum_XXXX.bntx,[bntx](../../middleware/bntx),pokedex book covers
/appli/tex/original_book_pic/original_book_pic_XX/original/book_pic_XX.bntx,[bntx](../../middleware/bntx),scarlet/violet book images
/appli/tex/waza_thumb/waza_thumb_XXX/waza_thumb_XXX.bntx,[bntx](../../middleware/bntx),TM Machine move images
